"Component","Current","Gap","Type","shadcn Ref","Impact","Confidence","Proposed CSS"
"drawer.css","drawer.css has .drawer, header/title/description/body/footer, four data-side variants with slide animations, backdrop. No drag-handle element.","shadcn Drawer (vaul) renders a visible drag handle bar near the top edge (the small rounded pill). shadcss has no equivalent styled handle part.","part","DrawerContent built-in handle (mx-auto mt-4 h-2 w-[100px] rounded-full bg-muted)","medium","high",".drawer-handle {;   margin: var(--space-4) auto 0;;   height: 0.5rem;;   width: 100px;;   flex-shrink: 0;;   border-radius: var(--radius-full, 9999px);;   background: hsl(var(--muted));; }"
"dropdown.css","No submenu primitives exist. There is no .dropdown-sub-trigger or .dropdown-sub-content class; the file only handles a single flat menu level.","No submenu support. shadcn provides DropdownMenuSub/SubTrigger/SubContent (nested menu opening to the side with a chevron). shadcss has no sub-trigger chevron or sub-content surface.","part","DropdownMenuSubTrigger / DropdownMenuSubContent","medium","high","@layer components { .dropdown-sub-trigger { display: flex; align-items: center; gap: var(--space-2); width: 100%; padding: var(--space-2) var(--space-3); font-size: var(--text-sm); border-radius: calc(var(--radius-md) - 2px); cursor: pointer; } .dropdown-sub-trigger:hover, .dropdown-sub-trigger[data-state=""open""] { background: hsl(var(--accent)); color: hsl(var(--accent-foreground)); } .dropdown-sub-content { min-width: 8rem; padding: var(--space-1); background: hsl(var(--popover)); color: hsl(var(--popover-foreground)); border: 1px solid hsl(var(--border)); border-radius: var(--radius-md); box-shadow: var(--shadow-md); } }"
"field.css","`.field` is a single-column grid. There is no horizontal/row layout option; label always sits above the control.","shadcn's Field supports orientation=""horizontal"", which lays the label beside the control (used for switch/checkbox rows and settings forms). shadcss has no equivalent.","variant","Field orientation=""horizontal"" (data-orientation=horizontal)","medium","high",".field[data-orientation=""horizontal""] {;   grid-template-areas:;     ""control label""; ""control description""; ""control error"";;   grid-template-columns: auto 1fr;;   align-items: center;;   column-gap: var(--space-3);; }"
"field.css","Error visibility is driven entirely by :has(:user-invalid) / :has(:invalid:not(:placeholder-shown)) pseudo-class selectors. There is no attribute hook to force the invalid state.","shadcn's Field sets data-invalid (control gets aria-invalid) from the form library to drive the error display, independent of native validity. shadcss cannot surface errors for form-library-validated fields where the control isn't natively :invalid.","state","Field data-invalid / control aria-invalid","medium","medium",".field[data-invalid=""true""] .field-error, .field:has([aria-invalid=""true""]) .field-error { display: flex; }; .field[data-invalid=""true""] .input, .field:has([aria-invalid=""true""]) .input, .field[data-invalid=""true""] .textarea, .field:has([aria-invalid=""true""]) .textarea { border-color: hsl(var(--destructive)); }"
"input.css","Invalid styling triggers only on `.input:invalid:not(:placeholder-shown)` and `.input:user-invalid`. There is no `[aria-invalid]` selector anywhere in input.css.","shadcn's Input keys its error state off aria-invalid (set by react-hook-form / Field), not native :invalid. A form library adding aria-invalid=""true"" gets no destructive styling in shadcss.","state","Input: aria-invalid:border-destructive aria-invalid:ring-destructive/20","medium","high",".input[aria-invalid=""true""] { border-color: hsl(var(--destructive)); }; .input[aria-invalid=""true""]:focus { box-shadow: 0 0 0 2px hsl(var(--destructive) / 0.25); }"
"menubar.css",".menubar-trigger has :hover and :focus-visible. shadcss only styles :hover, so the trigger does not stay highlighted while its menu is open.","No open-state styling on the trigger. shadcn MenubarTrigger applies bg-accent on data-state=open/data-highlighted; shadcss trigger reverts to transparent once the pointer leaves even though the popover stays open.","state","MenubarTrigger data-state=open (bg-accent text-accent-foreground)","medium","high","@layer components { .menubar-trigger[data-state=""open""], .menubar-trigger[aria-expanded=""true""] { background: hsl(var(--accent)); color: hsl(var(--accent-foreground)); } }"
"radio.css","Has .radio (native restyled, round, CSS dot), plus :checked, :hover, :focus-visible, :disabled. No invalid/error state styling.","No aria-invalid (error) state. shadcn's RadioGroupItem applies a destructive border + destructive focus ring when aria-invalid is set; shadcss has this convention on .input but not .radio.","state","aria-invalid:border-destructive aria-invalid:ring-destructive/20 on RadioGroupItem","medium","high",".radio[aria-invalid=""true""] { border-color: hsl(var(--destructive)); }; .radio[aria-invalid=""true""]:focus-visible { outline-color: hsl(var(--destructive)); }"
"select.css","Has .select (native restyled select with CSS chevron), .select-sm, .select-lg, plus :hover, :focus-visible, :disabled states. No invalid/error state styling.","No aria-invalid (error) state. shadcn's Select applies a destructive border + destructive focus ring when aria-invalid is set. shadcss uses this convention on .input but not .select.","state","aria-invalid:border-destructive aria-invalid:ring-destructive/20 on SelectTrigger","medium","high",".select[aria-invalid=""true""] { border-color: hsl(var(--destructive)); }; .select[aria-invalid=""true""]:focus-visible { box-shadow: 0 0 0 2px hsl(var(--destructive) / 0.25); }"
"sidebar","Has header/brand/content/group/menu/menu-button/menu-badge/menu-sub/footer, collapsible icon, inset/floating variants, mobile drawer. No menu-action.","No SidebarMenuAction part — a trailing action button (e.g. ellipsis/more) absolutely positioned on a menu item, which shadcn provides and is commonly used for per-item menus.","part","SidebarMenuAction (absolute right-1 top-1.5 size-5, peer-hover/focus visible)","medium","high","@layer components { .sidebar-menu-action { position: absolute; inset-inline-end: var(--space-1); top: 50%; transform: translateY(-50%); display: inline-flex; align-items: center; justify-content: center; width: 1.25rem; height: 1.25rem; border-radius: var(--radius-sm); color: hsl(var(--sidebar-foreground)); background: transparent; cursor: pointer; } .sidebar-menu-action:hover { background: hsl(var(--sidebar-accent)); color: hsl(var(--sidebar-accent-foreground)); } }"
"slider.css","Slider styles the runnable track via linear-gradient driven by --slider-fill, plus thumb pseudo-elements, sizes, disabled, focus-visible, vertical orientation. The focusable element is the input itself, so :focus-visible on ::-webkit-slider-thumb never matches.","shadcn's slider thumb shows a focus ring when the thumb receives keyboard focus. In shadcss the keyboard focus ring on the thumb is effectively missing because the pseudo-element is not the focus target.","a11y","SliderThumb focus-visible:ring-4 focus-visible:ring-ring/50","medium","medium",".slider:focus-visible::-webkit-slider-thumb { outline: 2px solid hsl(var(--ring)); outline-offset: 2px; } .slider:focus-visible::-moz-range-thumb { outline: 2px solid hsl(var(--ring)); outline-offset: 2px; }"
"tabs","tabs-trigger styles base, :hover, :checked active, :focus-visible. No disabled state anywhere in tabs.css.","No disabled trigger state. A disabled tab should be dimmed and non-interactive.","state","TabsTrigger disabled:pointer-events-none disabled:opacity-50","medium","high","@layer components {;   .tabs-list > input[type=""radio""]:disabled + .tabs-trigger {;     opacity: 0.5;;     pointer-events: none;;     cursor: not-allowed;;   }; }"
"textarea.css","Invalid styling triggers only on `.textarea:invalid:not(:placeholder-shown)` and `.textarea:user-invalid`. No `[aria-invalid]` selector present.","Same as input: shadcn's Textarea uses aria-invalid for the error state. Form-library-driven validation sets aria-invalid and would receive no destructive styling here.","state","Textarea: aria-invalid:border-destructive aria-invalid:ring-destructive/20","medium","high",".textarea[aria-invalid=""true""] { border-color: hsl(var(--destructive)); }; .textarea[aria-invalid=""true""]:focus { box-shadow: 0 0 0 2px hsl(var(--destructive) / 0.25); }"
"toast.css",".toast has title, description, close, and variants success/destructive/warning/info. There is no action-button part; only the close button exists.","shadcn's Toast provides ToastAction — a styled alternative-action button rendered inline (e.g. ""Undo"", ""Try again""). The sibling sonner.css has .sonner-action; toast.css omits any action slot.","part","ToastAction","medium","medium","@layer components {;   .toast-action {;     margin-inline-start: var(--space-2);;     flex-shrink: 0;;   }; .toast-action .btn {;     height: 1.75rem;;     padding: 0 var(--space-3);;     font-size: var(--text-xs);;   }; }"
"kbd.css","Single kbd, .kbd rule: inline-flex chip, mono font, muted bg, border. No grouping wrapper. Registry classes: ['kbd'] only.","No group wrapper for rendering multi-key shortcuts (e.g. 'Ctrl + K') with consistent spacing/alignment. shadcn ships a KbdGroup alongside Kbd.","part","KbdGroup (data-slot=""kbd-group"")","medium","high","@layer components {;   .kbd-group {;     display: inline-flex;;     align-items: center;;     gap: 0.25rem;;     vertical-align: middle;;   }; .kbd-group .kbd, .kbd-group kbd { vertical-align: baseline; }; }"
"accordion","accordion.css styles summary via :hover and [open] only. There is no rule keyed off a disabled state.","No disabled-state styling for an accordion item/trigger. shadcn dims and blocks interaction on disabled triggers.","state","AccordionTrigger disabled:opacity-50 disabled:pointer-events-none","low","medium",".accordion > details[data-disabled] > summary, .accordion > details > summary:disabled {;   opacity: 0.5;;   pointer-events: none;;   cursor: not-allowed;; }"
"breadcrumb","breadcrumb, breadcrumb-item, breadcrumb-link, breadcrumb-current; separator via ::after. No ellipsis class in CSS or registry.","No ellipsis sub-part for collapsed trails. shadcn renders a '…' placeholder item (with sr-only 'More') between truncated crumbs.","part","BreadcrumbEllipsis (data-slot=breadcrumb-ellipsis, size-9 flex centered MoreHorizontal icon)","low","high","@layer components {;   .breadcrumb-ellipsis {;     display: inline-flex;;     align-items: center;;     justify-content: center;;     width: 1.25rem;;     height: 1.25rem;;     color: hsl(var(--muted-foreground));;   }; .breadcrumb-ellipsis > svg { width: 1rem; height: 1rem; }; }"
"button.css",".btn-destructive sets background/hover only; focus-visible is the generic .btn:focus-visible outline of hsl(var(--ring)) for all variants.","shadcn's destructive button uses a destructive-colored focus ring so the focus indicator matches the variant. shadcss destructive uses the neutral ring color.","state","destructive: focus-visible:ring-destructive/20 dark:focus-visible:ring-destructive/40","low","medium",".btn-destructive:focus-visible { outline-color: hsl(var(--destructive) / 0.6); }"
"dropdown.css",".dropdown-item uses fixed padding; there is no inset modifier and no padding alignment for items beside checkbox/radio items.","No inset item variant. shadcn DropdownMenuItem/Label expose inset, adding left padding so plain items align with the text of checkbox/radio items.","variant","DropdownMenuItem/Label inset prop (pl-8)","low","medium","@layer components { .dropdown-item-inset, .dropdown-label-inset { padding-inline-start: 2rem; } }"
"empty.css",".empty has .empty-icon (a 3rem circular badge), plus title, description, actions, and color variants. No default media slot.","shadcn's Empty exposes EmptyMedia with variant=""default"" (a larger, background-less media slot for images/avatars/oversized illustrations). shadcss only models the icon badge.","variant","EmptyMedia variant=""default""","low","medium","@layer components {;   .empty-media {;     display: flex;;     align-items: center;;     justify-content: center;;     margin-bottom: var(--space-2);;   }; .empty-media > svg { width: 1.5rem; height: 1.5rem; }; .empty-media img, .empty-media [data-slot=""avatar""] { border-radius: var(--radius-lg); }; }"
"empty.css",".empty places title/description/actions as direct flow children with gap; there is no header grouping element.","shadcn's Empty groups media/title/description inside EmptyHeader, and body content inside EmptyContent (a flex column with its own gap/max-width). shadcss has .empty-actions but no general body wrapper.","part","EmptyContent","low","low","@layer components {;   .empty-content {;     display: flex;;     flex-direction: column;;     align-items: center;;     gap: var(--space-2);;     width: 100%;;     max-width: 20rem;;     margin-top: var(--space-2);;     font-size: var(--text-sm);;   }; }"
"field.css","field.css exposes only .field, .field-label, .field-control, .field-description, .field-error. There is no grouping/stacking container for multiple fields.","shadcn provides FieldGroup — a flex-column container that adds consistent vertical spacing between sibling Fields. shadcss has no group wrapper.","part","FieldGroup","low","medium","@layer components {;   .field-group {;     display: flex;;     flex-direction: column;;     gap: var(--space-5);;   }; }"
"field.css","No fieldset/legend primitives exist; the only label part is .field-label scoped to a single control.","shadcn provides FieldSet + FieldLegend for grouping related fields under a group caption, semantically a <fieldset>/<legend>. shadcss has no styled equivalent.","part","FieldSet, FieldLegend","low","medium","@layer components {;   .field-set { display: flex; flex-direction: column; gap: var(--space-4); border: none; margin: 0; padding: 0; }; .field-legend { font-size: var(--text-sm); font-weight: 500; color: hsl(var(--foreground)); padding: 0; }; }"
"field.css","No separator primitive; fields are separated only by grid gap when a group wrapper is used.","shadcn provides FieldSeparator — an optional divider (sometimes with centered text) between field sections. shadcss has nothing to render a between-fields rule.","part","FieldSeparator","low","low","@layer components {;   .field-separator { height: 1px; background: hsl(var(--border)); border: none; margin-block: var(--space-2); }; }"
"input-otp.css","otp-input has default, :focus, :disabled, :user-invalid, plus separator and size wrappers. There is no active/caret indicator for the currently-focused slot.","shadcn input-otp renders a blinking caret in the active slot. shadcss relies on the native text caret of the focused input, which is functionally equivalent, so this is largely covered. No strong missing feature.","polish","InputOTPSlot active caret-blink","low","low",".otp-input:focus { position: relative; z-index: 10; }"
"navigation-menu.css",".navigation-menu-trigger and .navigation-menu-link style :hover and :focus-visible. No rule references data-active, aria-current, or data-state for an active/current link.","No active/current state. shadcn NavigationMenuLink supports data-active (highlights the current route with bg-accent/font-medium); shadcss has no current-page highlight.","state","NavigationMenuLink data-active / active style","low","medium","@layer components { .navigation-menu-link[data-active], .navigation-menu-link[aria-current=""page""], .navigation-menu-trigger[data-active] { background: hsl(var(--accent)); color: hsl(var(--accent-foreground)); } }"
"pagination","pagination-prev/next only set color: muted-foreground and an aria-disabled opacity rule. No gap, no padding/label layout, no chevron sizing.","Previous/Next links lack the labelled button layout shadcn gives them (icon + 'Previous'/'Next' text with gap and padding). As-is they render as muted text without button affordance.","part","PaginationPrevious / PaginationNext (buttonVariants ghost, gap-1 px-2.5, ChevronLeft/Right + label)","low","medium","@layer components {;   .pagination-prev, .pagination-next { gap: var(--space-1); padding-inline: var(--space-3); color: hsl(var(--foreground)); }; .pagination-prev > svg, .pagination-next > svg { width: 1rem; height: 1rem; }; }"
"sidebar","No separator class in CSS or registry; sidebar-footer uses its own border-top. Groups separated only by gap.","No SidebarSeparator part for a horizontal rule between sections.","part","SidebarSeparator (Separator, mx-2 bg-sidebar-border)","low","high","@layer components {;   .sidebar-separator { height: 1px; margin-inline: var(--space-2); background: hsl(var(--sidebar-border)); border: 0; }; }"
"sidebar","sidebar-menu-button has a single fixed size. No size modifier classes or data-size attribute.","No menu-button size variants. shadcn SidebarMenuButton supports size='sm' and size='lg' (e.g. lg for a tall brand/profile row with two-line text).","size","SidebarMenuButton size: sm (h-7 text-xs) / lg (h-12)","low","medium","@layer components {;   .sidebar-menu-button[data-size=""sm""] { padding: var(--space-1) var(--space-2); font-size: var(--text-xs); }; .sidebar-menu-button[data-size=""lg""] { padding: var(--space-2) var(--space-3); min-height: 3rem; }; }"
"typography.css","Has .prose (element styles) plus .prose .lead. Registry classes: ['prose','lead']. No standalone large/small/muted text helpers.","Missing the standalone typography text-style helpers shadcn's typography docs provide: 'large', 'small', and 'muted'. shadcss only has .lead.","variant","TypographyLarge, TypographySmall, TypographyMuted","low","medium","@layer components {;   .prose .large, .text-large { font-size: var(--text-lg); font-weight: 600; line-height: 1.4; }; .prose .small, .text-small { font-size: var(--text-sm); font-weight: 500; line-height: 1.4; }; .prose .muted, .text-muted { font-size: var(--text-sm); color: hsl(var(--muted-foreground)); }; }"
