Defect ID,Feature ID,Test ID,Kind,Scenario,Expected,Actual,Severity,Root Cause,Proposed Fix,Status
D2-024,BTN2-004,BTN2-004-T2,new,outline variant combined with vertical orientation (3+ items),vertical outline collapses top/bottom borders and squares inner corners,"No vertical+outline handling; doubled horizontal borders, no top/bottom collapse, rounded inner corners",Low,Outline variant authored for horizontal layout only; vertical+outline never covered,Add toggle-group vertical+outline border-collapse rules or document unsupported,Fixed
D2-025,BTN2-004,BTN2-004-T3,incorrect-fix,D-091 outline middle-item inner-corner squaring for 3+ items,middle items square inner corners and collapse adjacent border,No :not(:first-child):not(:last-child){border-radius:0} reset; 3+ outline items show rounded inner corners,Low,D-091 remediation applied to btn-group only; toggle-group outline middle-corner reset omitted,Add toggle-group outline middle-item border-radius:0 reset,Fixed
D2-026,FRM2-002,FRM2-002-T2,new,'Search with trailing icon' demo svg lacks .icon-trailing,Trailing icon at end; input pads end not start,svg at 365 has no .icon-trailing so leading padding applied and svg at start; trailing demo renders as leading icon,Low,Demo author forgot class=icon-trailing; trailing path never exercised,Add class=icon-trailing to svg at 365 and class=input-trailing to the input at 366,Fixed
D2-027,FRM2-003,FRM2-003-T3,new,Disabled textarea hover border,Disabled should not change border on hover,hover rule is :hover:not(:focus) only — missing :not(:disabled); disabled brightens on hover,Low,Hover guard inconsistent; :disabled not excluded,"Change to .textarea:hover:not(:focus, :disabled)",Fixed
D2-028,FRM2-003,FRM2-003-T4,new,Textarea has no :focus invalid box-shadow pair,Invalid focused textarea shows destructive ring for parity,only border-color for invalid; no destructive box-shadow on focus,Low,Destructive focus-ring rule omitted from textarea,Add textarea invalid focus destructive box-shadow rule,Fixed
D2-029,FRM2-005,FRM2-005-T3,new,select:invalid hides description but field-error may be empty,an error message exists to show,hides description and shows field-error for select:invalid; selects with no field-error hide description with no replacement,Low,description-hide unconditional on invalid even when no error node exists,"Only hide description when a sibling .field-error exists, or ship a .field-error per required field",Fixed
D2-030,SEL2-001,SEL2-001-T2,new,Focus ring on mouse click (uses :focus not :focus-visible),Ring only on keyboard focus,"uses .select:focus; checkbox/radio use :focus-visible — inconsistent, ring on click",Low,:focus chosen but inconsistent vs siblings,Change .select:focus to .select:focus-visible,Fixed
D2-031,SEL2-003,SEL2-003-T5,new,radio-group item radios lack .radio class,Inner radios styled via .radio,bare radios with NO .radio; radio dot is browser-default not styled,Low,radio-group markup never adds class=radio to inner input,Add class=radio to inner radios in registry markup and showcase,Fixed
D2-032,CTL2-001,CTL2-001-T2,incorrect-fix,D-093 showcase switches lack role=switch,Showcase inputs carry role=switch,class=switch with NO role=switch; announced as checkbox,Low,Fix documented in CSS comment but never applied to showcase markup,Add role=switch aria-checked to demo .switch inputs in index.html,Fixed
D2-033,CTL2-003,CTL2-003-T1,incorrect-fix,D-097 per-input aria-label and separator aria-hidden,Every .otp-input has aria-label; separator aria-hidden,first four labelled; separator aria-hidden; digits 5-8 have NO aria-label,Low,Fix applied to first group only; second group unlabelled,Add aria-label Digit 5..8 to 380-383,Fixed
D2-034,CTL2-003,CTL2-003-T2,regression,Eager :invalid vs input.css :user-invalid,OTP not red before interaction,bare .otp-input:invalid with no guard; prefilled invalid shows red on load,Low,iter-1 upgraded input/textarea but missed input-otp.css,Change .otp-input:invalid to .otp-input:user-invalid,Fixed
D2-035,SUR2-001,SUR2-001-T3,incorrect-fix,Interactive card focus dead without focusability,Interactive card keyboard-focusable,card-interactive div has no tabindex/role; focus-visible never triggers,Low,CSS fix added but canonical usage markup not focusable,Add tabindex=0 (and role/link) to interactive card in showcase + registry,Fixed
D2-036,OVL2-002,OVL2-002-T1,incorrect-fix,D-127 reconcile popover data-side vocab,popover attributes include bottom-start/bottom-end,registry.json:259 still top|start|end only; css defines bottom-start/bottom-end; showcase uses bottom-start; dialog entry updated but popover not,Low,Remediation updated dropdown/dialog registry entries but missed popover entry,Update registry.json:259 popover attributes to include bottom-start|bottom-end,Fixed
D2-037,OVL2-003,OVL2-003-T1,new,sheet-body/drawer-body flex:1 but container is not flex column,dialog.sheet/dialog.drawer have display:flex;flex-direction:column,dialog.sheet/drawer have NO display:flex; flex:1 on body is inert; footer does not pin to bottom on short content,Low,Container never made a flex column; flex:1 copied from a flex-column assumption,Add display:flex;flex-direction:column to dialog.sheet and dialog.drawer base rules,Fixed
D2-038,MNU2-002,MNU2-002-T2,incorrect-fix,menubar try-fallbacks coverage,position-try-fallbacks on every side variant,only on base .menubar-menu; data-side variants omit it so explicit-side menus do not flip,Low,try-fallbacks added only to the default rule,Add position-try-fallbacks to each [data-side] variant,Fixed
D2-039,MNU2-003,MNU2-003-T2,waiver-revalidated,D-047 context-menu checkbox items lack role/aria-checked,role=menuitemcheckbox + aria-checked,css styles [data-checked] only; no ARIA; static role authoring is possible without JS so waiver over-broad,Low,Waiver conflated dynamic state toggling (JS) with static role/aria authoring,Author role=menuitemcheckbox + aria-checked mirroring data-checked in registry; live toggling needs JS,Waived
D2-040,DIS2-001,DIS2-001-T3,new,RTL: start/end logical inset but physical translateX,body and arrow stay same logical side; reveal consistent,body positioned with inset-inline (flips) but reveal uses physical translateX which does NOT flip; RTL slide-in inverted,Low,Mixed logical positioning with physical transform axis,Use a logical offset or :dir(rtl) overrides to flip translateX sign,Fixed
D2-041,DIS2-002,DIS2-002-T4,new,ARIA relationship trigger<->panel,aria-describedby links trigger to panel,trigger and panel have no id/aria-describedby; comment says wire it but showcase doesn't,Low,Doc-only guidance not reflected in demo,Add id to panel and aria-describedby on trigger in showcase,Fixed
D2-042,DIS2-004,DIS2-004-T2,incorrect-fix,Same grid-animation-on-native-details limitation as accordion,Smooth reveal,identical grid 0fr->1fr gated by native [open]; native details hides closed content so reveal pops,Low,Grid-rows transition needs ::details-content handling,"Add interpolate-size + ::details-content allow-discrete, or document instant reveal",Fixed
D2-043,NAV2-003,NAV2-003-T2,new,pointer-events:none active link still keyboard-focusable; ul lacks role=list,Disabled-state consistent kbd+mouse; list semantics,pointer-events only blocks pointer; keyboard Enter follows href; active item tab-focusable; list-style:none can drop list semantics,Low,pointer-events is mouse-only guard; current page still a live anchor,Render current page as a non-anchor span (or tabindex=-1) and add role=list to .pagination,Fixed
D2-044,NAV2-004,NAV2-004-T2,waiver-revalidated,D-055 collapse-to-icon toggle,CSS-only collapse feasible,collapse purely attribute-driven; a :has(:checked) toggle would achieve it without JS,Low,Stateful collapse modeled via data attribute rather than :has()/sibling :checked,Offer an optional CSS-only collapse via hidden checkbox + :has reusing collapsed rules,Waived
D2-045,DAT2-001,DAT2-001-T2,new,Header cells lack scope attribute,th carry scope=col (and scope=row),th have no scope= (count=0); native inference unreliable,Low,Showcase markup omitted scope; CSS cannot add it,Add scope=col to each thead th in showcase/registry,Fixed
D2-046,DAT2-004,DAT2-004-T1,incorrect-fix,D-024 removed unfulfilled <datalist> reference,header no longer promises a datalist example,command.css:5-6 STILL claims a <datalist> pattern but no datalist exists in css or showcase,Low,"Comment edited only in showcase copy, not in component file header",Remove the <datalist> clause from command.css:5-6 or ship the datalist pattern,Fixed
D2-047,FBK2-001,FBK2-001-T2,incorrect-fix,Showcase #toast renders .toast and prose matches token,section uses class=toast and references --toast-duration,#toast renders ONLY .sonner (0 class=toast); prose says --sonner-duration not defined in toast.css; component documented but never demoed; prose cites foreign token,Low,Section authored around sonner only; copy not reconciled with separate toast.css component,Add a real .toast demo or rename prose to reference --sonner-duration accurately,Fixed
D2-048,FBK2-002,FBK2-002-T3,incorrect-fix,role=status placement registry vs showcase,announceable role/aria-live consistent,registry sets role=status on each .sonner; showcase sets it on .sonner-region only; surfaces disagree,Low,ARIA enrichment applied to registry markup but showcase not aligned,"Align showcase to registry: aria-live on region, role=status on each .sonner",Fixed
D2-049,FBK2-003,FBK2-003-T2,new,Empty icon svg decorative; container role,showcase icon svg aria-hidden; role for container,empty-icon svg has NO aria-hidden so SR reads raw path; .empty plain div no role=status/region,Low,ARIA enrichment pass did not reach the empty showcase block,Add aria-hidden=true to .empty-icon svg in showcase + registry; optionally role=status on .empty,Fixed
D2-050,DST2-001,DST2-001-T3,new,apps/www dir absent when build runs,Build degrades gracefully or ensures dir,build ensureDir's only distDir; www copy write has no ensureDir; if apps/www absent the build throws ENOENT and exits non-zero,Low,Package build coupled to sibling app path with no existence guard,Wrap the www copy in try/catch or check existsSync before writing so package build never fails on the showcase path,Fixed
D2-051,DST2-007,DST2-007-T1,new,Direct npm publish bypasses build,prepublishOnly/prepack rebuilds dist,no prepublishOnly/prepack/prepare hook; only root release chains build+publish; direct npm publish -w would publish on-disk dist (potentially stale),Low,"Build-before-publish guarantee lives only in the convenience script, not a lifecycle hook",Add prepublishOnly: npm run build (or prepack) to packages/shadcss scripts,Fixed
D2-052,DST2-008,DST2-008-T1,waiver-revalidated,D-055/D-056/D-070/D-074 'needs JS' toggles,Confirm whether CSS-only can drive collapse/drawer/overlay open,these waivers' own proposed fixes note a CSS-only checkbox/:has()/:target toggle is feasible; the JS-only framing is not a hard limit; ARIA-semantics waivers remain genuine,Low,Interaction-visibility waivers conflated with genuinely-unfixable ARIA-role waivers; CSS :has()/:target now covers visibility toggles,Re-open D-055/D-056/D-070/D-074 with a CSS-only hidden-checkbox or :target toggle; keep ARIA-role waivers WAIVED,Waived
D2-053,SHO2-005,SHO2-005-T2,incorrect-fix,selected day uses aria-pressed=true,calendar selection uses aria-selected,aria-pressed models a toggle button not a selected grid cell; semantically wrong,Low,Confused toggle vs grid selection semantics,Use aria-selected=true on the chosen day,Fixed
D2-054,SHO2-006,SHO2-006-T1,incorrect-fix,"first 4 inputs labelled, last 4 after separator have none",all 8 inputs have aria-label,inputs 380-383 have no aria-label; SR announces unlabelled edit fields,Low,Remediation labelled only the first group,Add aria-label Digit 5..8 to the trailing inputs,Fixed
D2-055,SHO2-008,SHO2-008-T2,new,Docs show @import bare specifier but plain CSS has no Node resolution,documented import resolves in a typical CSS pipeline,raw CSS @import of a bare package specifier is not resolvable by plain CSS; only works through a bundler honoring exports/style; plain @import 404s; docs don't state bundler required,Low,Install doc assumes bundler resolution without saying so,"Clarify the @import requires a bundler, or show explicit path @russfranky/shadcss/dist/shadcss.min.css",Fixed
D2-056,REG2-001,REG2-001-T4,preexisting,context-menu registry markup quality,role=menu element references menuitems,markup is empty stub div.context-menu popover role=menu with no menuitem children or aria; incomplete guidance,Low,placeholder markup never fleshed out for context-menu,Mirror dropdown markup: include role=menuitem buttons and oncontextmenu trigger note,Fixed
D2-057,REG2-002,REG2-002-T2,incorrect-fix,aria-selected and tab/panel linkage,aria-controls / aria-labelledby connect tab and panel,label has role=tab aria-selected=true but no aria-controls; panel has role=tabpanel data-tab but no aria-labelledby; linkage missing,Low,partial ARIA added without relationship attributes,Add aria-controls on tab labels and aria-labelledby on panels,Fixed
D2-058,REG2-005,REG2-005-T1,waiver-revalidated,select:invalid fires on initial load (no interaction gate),error hidden until user interacts,rule .field:has(select:invalid) .field-error{display:flex} has NO :user-invalid or interaction gate; a required select with no valid option is :invalid on load so error shows immediately; over-broad,Low,"select has no :placeholder-shown equivalent so a bare select:invalid branch was added, losing the interaction gate","Use .field:has(select:user-invalid) for the select branch, dropping the ungated select:invalid",Fixed
D2-059,REG2-006,REG2-006-T5,incorrect-fix,registry.json:5 description mirrors absolutist claim,honest framing,registry.json:5 also says 'zero JavaScript'; same inconsistency,Low,shared boilerplate string not updated,Align to 'no JS framework' wording,Fixed
D2-060,REG2-007,REG2-007-T3,new,CDN unpkg snippet is unpinned,production CDN URL pins a version,all CDN snippets unpinned (no @0.1.0); resolves to latest; future major can silently break consumers,Low,convenience over stability; version pin omitted,Pin to @russfranky/shadcss@0.1.0 in documented CDN URLs or note pin a version in production,Fixed
