Defect ID,Feature ID,Test ID,Reproduction / Scenario,Expected Result,Actual Result,Severity,Root Cause Hypothesis,Proposed Smallest-Safe Fix,Status
D-022,DAT-002,DAT-002-T4,Grid exposes calendar/grid semantics to AT,role=grid / gridcell or table semantics,"Markup uses <button> day cells inside plain div; no role=grid, columnheader, or aria-label on grid; weekday letters are bare span",Medium,File comment claims accessible markup but no ARIA grid roles provided,"Recommend role=grid on .calendar-grid, role=columnheader on weekdays, aria-label dates",Fixed
D-023,DAT-003,DAT-003-T2,Arrow buttons advance the carousel,Prev/Next move the viewport,"CSS only styles .carousel-btn; advancing relies on inline onclick scrollBy, contradicting zero-JS",Medium,Arrow navigation not achievable in pure CSS; showcase uses inline onclick,Document arrows as requiring JS (or CSS ::scroll-button); do not present as zero-JS,Fixed
D-024,DAT-004,DAT-004-T2,Typing filters/fuzzy-searches the list,"Input narrows results, shows empty state when none",No filtering mechanism; .command-empty is static styling only; comment admits search needs JS,Medium,Fuzzy search not expressible in CSS; header references a <datalist> pattern absent from file,Keep shell + JS framing; remove the unfulfilled <datalist> reference or provide that example,Fixed
D-025,DAT-004,DAT-004-T3,Palette exposes combobox/listbox roles for AT,"role=dialog/combobox, listbox + option roles, aria-activedescendant",No ARIA roles; items are button/a with class only; selection uses data-selected not aria-selected,Medium,Selection state uses non-semantic data-selected; no combobox/listbox semantics,"Recommend role=dialog/listbox/option + aria-selected, aria-activedescendant wiring",Waived
D-026,DIS-001,DIS-001-T2,Screen reader announces tooltip text,Tooltip content exposed via role=tooltip / aria-describedby,"Content is pure CSS generated content from attr(data-tooltip); no role, no aria-describedby; generated content inconsistently exposed by AT",Medium,CSS ::after generated content is not a reliable accessibility tree node,Document requiring authors to also set aria-label/aria-describedby; cannot be fixed in CSS alone,Fixed
D-027,DIS-002,DIS-002-T3,Touch device tap to open hover-card,Comment promises tap-toggle via popover,@media (hover:none) sets display:none with no override; panel can never open on touch,Medium,Promised popover tap fallback was never implemented; only the hide rule exists,"Add [popover] to .hover-card-panel and a :popover-open display:block rule, or remove the misleading comment",Fixed
D-028,DIS-002,DIS-002-T4,Browser/UA where no hover media query matches,Panel hidden by default,display:none only lives inside the hover-media block; outside it the panel has no display rule so it renders visible by default,Medium,Base hidden state is nested inside the hover feature query instead of being a default rule,"Move .hover-card-panel { display:none } to the top-level block, only flip to block on hover",Fixed
D-029,DIS-002,DIS-002-T5,Keyboard/AT access to hover-card content,Panel reachable and announced,:focus-within reveal exists but only under pointer:fine; no ARIA relationship between trigger and panel,Medium,No ARIA wiring and reveal gated behind pointer:fine media query,Provide :focus-within reveal outside the pointer:fine gate and document aria-describedby,Fixed
D-030,DIS-005,DIS-005-T2,Document conforms to cited $schema,Validates against https://ui.shadcn.com/schema.json,shadcn schema requires items with type/files[]/registryDependencies; this doc uses a bespoke components[] shape,Medium,$schema URL copied from shadcn but the document is a custom format,Drop the $schema reference or point it at a self-authored schema,Fixed
D-031,FBK-001,FBK-001-T2,Auto-dismiss with Popover API: claim of pure-CSS auto-dismiss for popover toasts is misleading,Popover toast auto-dismisses and is removed from top layer by CSS,"CSS has zero :popover-open / @starting-style rules; after out-animation the popover is still open in top layer, only visually hidden; true removal needs JS hidePopover",Medium,CSS cannot call hidePopover; popover lifecycle is JS-controlled,Document that popover toasts require JS hidePopover; reserve CSS auto-dismiss claim for in-flow toasts,Fixed
D-032,FBK-002,FBK-002-T2,sonner-loading spinner depends on shadcss-spin keyframe not defined in sonner.css,@keyframes shadcss-spin available so svg spins,"sonner.css references shadcss-spin but does not define it; works only if another loaded component defines it. If imported standalone, spinner is static",Medium,Cross-file keyframe dependency not declared in registry deps,Define shadcss-spin in sonner.css or add spinner to sonner deps,Fixed
D-033,FBK-002,FBK-002-T3,Showcase applies popover to .sonner but CSS has no :popover-open,auto-dismiss via CSS,no :popover-open/@starting-style; demo stays open until manual hidePopover; the 4s out animation only fades visually,Medium,Popover lifecycle is JS-driven; CSS animation cannot pop the element,Document JS hidePopover requirement; do not claim pure-CSS dismiss for popover usage,Fixed
D-034,FBK-002,FBK-002-T6,sonner-close button has no accessible label,close button labeled (aria-label) for SR,"CSS only; showcase close button contains svg-only, no aria-label",Medium,Icon-only button without text/aria-label,Add aria-label=Close to .sonner-close in markup/docs,Fixed
D-035,FRM-001,FRM-001-T2,Required input WITHOUT a placeholder fails validation but shows no destructive border,Invalid empty required field shows destructive styling,":invalid:not(:placeholder-shown) cannot match an empty field that has no placeholder, so border stays neutral",Medium,Uses :placeholder-shown as a proxy for empty; without a placeholder the pseudo never applies,Add :user-invalid as an additional selector to cover placeholder-less fields,Fixed
D-036,FRM-004,FRM-004-T2,"Required text field WITHOUT placeholder, left empty and submitted",Empty required field shows its error message,:has(:invalid:not(:placeholder-shown)) cannot match an empty placeholder-less input; error stays hidden,Medium,Empty-state detection relies on :placeholder-shown; placeholder-less required text inputs never expose their error,Add .field:has(:user-invalid) .field-error { display:flex },Fixed
D-037,FRM-004,FRM-004-T5,Error message programmatic association,Error linked to control via aria-describedby / aria-invalid,CSS only toggles visibility; no aria wiring exists; screen readers will not announce the revealed error,Medium,Validation purely visual via :has(); no aria-invalid/aria-describedby relationship,Document required markup: add aria-describedby and aria-invalid (CSS cannot supply this),Fixed
D-038,FRM-005,FRM-005-T2,Document validates against its cited $schema,Shape conforms to shadcn registry schema,"Cited schema expects items[].files[].{path,type}; this file uses components[] with file/deps/markup/classes and a tokens object — non-conforming",Medium,$schema URL copied from shadcn but the document uses a bespoke shape,Either remove/replace the $schema or restructure entries,Fixed
D-039,MED-001,MED-001-T3,Broken image URL,Component shows text fallback without JS,"A failed img leaves a broken-image box; recovery requires inline onerror JS, contradicting zero-JS claim",Medium,CSS cannot detect img load failure,"Document onerror JS requirement, or render text under an absolutely-positioned img",Waived
D-040,MED-003,MED-003-T5,Spinner announced as busy/loading,role=status / aria-label hook,No ARIA; showcase spinners are bare div with no label or role=status,Medium,CSS-only component cannot add semantics; docs omit guidance,Add registry markup guidance recommending role=status aria-label=Loading,Fixed
D-041,MED-005,MED-005-T2,Registry shape conforms to cited shadcn $schema,"items use {name,type,files,dependencies,registryDependencies}","Items use custom {name,file,deps,markup,classes}; no type/files/registryDependencies",Medium,Reused shadcn schema URL while inventing a bespoke format,"Drop the $schema reference / point to a self-hosted schema, or restructure items",Fixed
D-042,MNU-001,MNU-001-T2,Menu exposes ARIA menu/menuitem roles for screen readers,role=menu on container and role=menuitem on items,"No role=menu or role=menuitem anywhere; items are bare a/button, container is plain div",Medium,CSS-only component provides no ARIA roles and showcase omits them,Document required role=menu/role=menuitem in registry markup and showcase,Fixed
D-043,MNU-001,MNU-001-T3,data-side anchoring positions menu relative to trigger,Menu anchors to its trigger on each side variant,"data-side only sets inset/margin on the popover in top layer, not relative to trigger; without anchor positioning it offsets from viewport",Medium,"Popover renders in top layer; inset values viewport-relative, so menu does not attach to trigger",Add anchor positioning with current inset rules as @supports fallback,Fixed
D-044,MNU-002,MNU-002-T3,Menubar exposes role=menubar/menuitem and keyboard arrow navigation,role=menubar with arrow-key roving focus,No roles; left/right arrow navigation impossible without JS; only Tab works,Medium,Pure-CSS cannot implement roving tabindex/arrow nav,Document that menubar needs JS + ARIA; add roles to markup examples,Waived
D-045,MNU-003,MNU-003-T3,Nav exposes proper menu semantics / aria-expanded,"Triggers convey expanded state, content has accessible name",Triggers are plain buttons; no aria-expanded/aria-controls beyond popovertarget; no role wiring,Medium,CSS cannot toggle aria-expanded; showcase omits it,Document aria-expanded handling (needs JS) or rely on popovertarget UA semantics,Waived
D-046,MNU-004,MNU-004-T1,Right-click opens context menu at cursor in showcase,A .context-menu element is triggered via oncontextmenu somewhere in the showcase,index.html contains NO .context-menu markup and NO oncontextmenu handler; the component is unused/undemoed,Medium,Component is a styled shell whose required inline-JS trigger is never wired,"Add a demo with oncontextmenu showPopover() plus cursor positioning, or mark JS-required in docs",Fixed
D-047,MNU-004,MNU-004-T4,Checked items expose checkbox role/aria-checked,role=menuitemcheckbox + aria-checked reflecting data-checked,State is encoded only in data-checked for styling; no aria-checked/role provided,Medium,Visual-only checked state with no ARIA,Document required aria-checked + role=menuitemcheckbox alongside data-checked,Waived
D-048,MNU-005,MNU-005-T1,Menu items validate against cited shadcn $schema,Each item has type/registryDependencies/files[].path,context-menu/dropdown/menubar/navigation-menu items use non-conforming keys; no type or files[],Medium,Registry advertises shadcn schema but uses a bespoke shape,"Point $schema at the actual custom schema, or migrate items to shadcn registry-item shape",Fixed
D-049,MSC-002,MSC-002-T5,Registry has no standalone container entry,container component listed in registry.json components,"grep finds container only in card description; no own component entry, so AI registry consumers cannot discover .container-sm/md/lg/xl/full",Medium,Component file shipped but omitted from registry components array,Add a container entry to registry.json components with classes container/-sm/-md/-lg/-xl/-full,Fixed
D-050,MSC-003,MSC-003-T3,Vertical direction panel corner rounding,Rounded outer corners along vertical axis,first/last/only-child radii are hardcoded for horizontal layout only; vertical stacks get wrong rounding,Medium,Corner/border rules not branched on data-direction,Add [data-direction=vertical] overrides for first/last child radii,Fixed
D-051,MSC-005,MSC-005-T1,Document validates against cited shadcn schema,Items conform to ui.shadcn.com/schema.json,"Items use {name,file,deps,markup,classes} not shadcn {name,type,files,registryDependencies}; cited schema would reject",Medium,$schema borrowed from shadcn but custom shape adopted,Point $schema to a custom schema or drop the field,Fixed
D-052,NAV-001,NAV-001-T3,Screen reader announces tab semantics,role=tablist/tab/tabpanel and aria-selected present,No ARIA roles in CSS or showcase; only native radios/labels exposed,Medium,CSS-only pattern cannot add roles; markup omits them,Add role=tablist/tab/tabpanel + aria-selected to documented markup,Fixed
D-053,NAV-002,NAV-002-T3,Current page exposed to AT and nav landmark,aria-current=page on current and nav landmark,CSS uses class .breadcrumb-current not aria-current; showcase wraps in <nav> but lacks aria-current/aria-label,Medium,Styling keyed to class not ARIA; markup omits aria-current,Add aria-current=page to current item and aria-label to nav,Fixed
D-054,NAV-003,NAV-003-T3,Disabled/active link removed from keyboard tab order,Cannot focus disabled prev or active link via keyboard,pointer-events:none blocks mouse only; <a href> remains focusable via Tab and aria-disabled does not remove from tab order,Medium,CSS pointer-events does not affect keyboard; no tabindex=-1 in template,Document removing href or adding tabindex=-1 for disabled/active,Fixed
D-055,NAV-004,NAV-004-T3,Collapse toggle works without JS,Sidebar collapses to icon width interactively,"Collapse keyed to data-collapsed=true; nothing in CSS or showcase sets it, no toggle control. Requires external JS contradicting zero-JS framing",Medium,Stateful collapse needs JS; not provided,Document JS requirement; add a CSS-only :has(checkbox) toggle if zero-JS desired,Waived
D-056,NAV-004,NAV-004-T4,Mobile drawer slides in,"<768px off-canvas, opens via data-mobile-open","Media query translates X -100% and reveals on data-mobile-open=true; but no JS sets it and backdrop needs data-mobile=true (never set), so drawer cannot open",Medium,Drawer open/backdrop driven by attrs only mutable via JS,Provide a checkbox/:has() CSS toggle or document JS; fix backdrop attr,Waived
D-057,NAV-004,NAV-004-T6,Off-canvas drawer hidden from AT when closed,Closed drawer not reachable by keyboard/AT,transform:translateX(-100%) only visually hides; links remain focusable and exposed to AT; no inert/visibility handling,Medium,Transform does not remove from a11y tree or tab order,Add visibility:hidden when closed or document inert requirement,Fixed
D-058,NAV-005,NAV-005-T2,Document validates against cited $schema,Conforms to ui.shadcn.com/schema.json,Uses custom shape instead of shadcn registry items[]/files[]; would fail schema validation,Medium,Non-conforming custom schema reusing shadcn $schema URL,Point $schema to a custom schema or restructure,Fixed
D-059,OVL-001,OVL-001-T4,.dialog-close styled but unwired and absent from showcase dialog,A visible top-right close button that dismisses the dialog,".dialog-close has only visual styles, no close behavior; the showcase dialog never uses .dialog-close. A consumer adding it gets a non-functional X without JS",Medium,Class provides styling only; closing requires JS or wrapping in <form method=dialog>,Wrap the close glyph in <form method=dialog><button class=dialog-close> in the registry markup,Fixed
D-060,OVL-004,OVL-004-T3,data-side positioning aligns popover to trigger,data-side moves the panel to the correct side of its trigger,data-side only flips margin direction; with no anchor positioning the panel is NOT positioned relative to the trigger. showcase uses data-side=bottom-start which is not even a defined variant,Medium,No CSS anchor positioning; data-side variants are margin nudges and don't include bottom-start,Adopt CSS anchor positioning and define the bottom-start/bottom-end values,Fixed
D-061,OVL-005,OVL-005-T1,Overlay entries validate against the cited shadcn schema,dialog/drawer/sheet/popover entries conform to shadcn registry-item shape,"Entries use {name,file,deps,markup,classes,description} with no type or files[]; bespoke shape that does not conform",Medium,Authors reused shadcn $schema URL while inventing a custom shape,Drop/replace $schema or restructure items to shadcn registry-item format,Fixed
D-062,REG-001,REG-001-T1,Validate registry.json item shape against shadcn registry-item schema requirements,Each component item has type and a files array; cross-refs in registryDependencies,"Items use custom keys file (string), deps, classes, markup, attributes; no type, no files[], no registryDependencies. Top level uses custom style/tokens/components",Medium,Author reused shadcn schema URL for credibility but invented a bespoke CSS-class registry format,"Remove the misleading $schema line, or point it at a custom/self-hosted JSON Schema",Fixed
D-063,REG-001,REG-001-T2,A shadcn-aware validator/CLI fetches the cited schema and validates the document,Document validates cleanly against ui.shadcn.com/schema.json,Top-level tokens/style/components and item-level markup/classes/deps are not in the shadcn schema; required type missing on every item -> validation fails,Medium,Custom format mismatched with declared schema,Drop the shadcn $schema reference; document the real format in README,Fixed
D-064,REG-003,REG-003-T3,Documented components honestly flagged as needing JS,Components requiring JS are labeled,registry resizable (pair with 10 lines of JS) and AI_GUIDE list 6 JS cases; honest in body but headline badge still says JavaScript 0 lines,Medium,Body text honest; badges/headline overstate,Change badge text to no-JS-framework or CSS-first; keep honest caveats,Fixed
D-065,REG-007,REG-007-T1,shadcss JS=none row vs reality,Accurately reflects that opening dialogs/popovers/toasts needs JS,Table marks shadcss JS none while AI_GUIDE and the showcase 35 JS handlers show JS is required for core interactions,Medium,Marketing absolutism; JS none is true for the CSS bundle but false for interactive usage,Footnote the JS column: no JS framework; dialogs/popovers need a one-line native call,Fixed
D-066,SEL-002,SEL-002-T2,Indeterminate state is real (form/a11y) not just visual,Indeterminate exposed to AT and forms as mixed,"Only a CSS attribute selector drives visuals; the real input.indeterminate IDL property is unset, so AT reports unchecked. Requires JS",Medium,CSS cannot set the IDL indeterminate property; attribute-only is presentational,Document data-indeterminate is visual-only and requires el.indeterminate=true via JS,Fixed
D-067,SEL-003,SEL-003-T2,Duplicate .radio-group definition across files,Single authoritative .radio-group layout,".radio-group defined twice: radio.css (flex) and radio-group.css (grid). In concatenated dist the later overrides to grid, making radio.css flex dead code",Medium,Two files own the same class with different layout models,Remove the .radio-group block from radio.css and keep grid in radio-group.css,Fixed
D-068,SEL-003,SEL-003-T3,data-orientation values disagree between the two .radio-group blocks,One consistent set of orientation values,"radio.css overrides vertical; radio-group.css overrides horizontal. Grid base wins, so vertical override is moot",Medium,Divergent orientation contracts from the duplicate-class problem,Consolidate orientation handling in radio-group.css supporting both,Fixed
D-069,SHO-003,SHO-003-T2,Inline event handlers and CSP,No inline JS so a strict CSP works,Inline onclick/oninput/onerror present; strict script-src CSP would block all interactions,Medium,Inline handlers require unsafe-inline,Externalize the few handlers into one tiny script file referenced via nonce/hash,Waived
D-070,SHO-005,SHO-005-T2,Open overlay with JS disabled,Some non-JS open path,Only inline showModal triggers; no fallback,Medium,Native dialog open requires JS; CSS-only open not provided,Document JS requirement or use a checkbox/:target-based open pattern,Waived
D-071,SHO-006,SHO-006-T2,Stack multiple toasts,Toasts offset/stack in a region,"Each sonner hardcodes identical position: fixed; bottom right — they overlap, not stack",Medium,No stacking offset logic; needs JS or :nth offsets,"Use .sonner-region flow positioning, or JS to offset",Fixed
D-072,SHO-008,SHO-008-T1,Resolve ./registry.json from apps/www,File exists in apps/www,Not present in apps/www; only packages/shadcss/registry.json exists,Medium,Link assumes registry.json sits beside index.html,Point href to ../../packages/shadcss/registry.json or copy the file into apps/www,Fixed
D-073,SHO-008,SHO-008-T2,Resolve ./AI_GUIDE.md from apps/www,File exists in apps/www,AI_GUIDE.md absent from apps/www,Medium,Dead relative link,Correct the path to the actual AI_GUIDE.md location or add the file,Fixed
D-074,SHO-010,SHO-010-T2,Mobile sidebar reachability,A trigger reveals nav on mobile,Sidebar set display:none under 1024px with no toggle to reopen it; mobile users lose nav and theme toggle,Medium,No mobile menu/sheet trigger despite a Sheet component existing,Wire a hamburger that opens the existing sheet/drawer for mobile nav,Waived
D-075,SHO-011,SHO-011-T1,Tabs expose tablist/tab/tabpanel roles,role=tablist/tab/tabpanel present,"No ARIA roles; radios+labels only, announced as radio group not tabs",Medium,CSS-only tabs cannot get tab roles without JS/markup additions,Add role=tablist/tab/tabpanel and aria-selected,Fixed
D-076,SHO-011,SHO-011-T2,Tooltip content in a11y tree,Tooltip text exposed (aria-describedby/role=tooltip),data-tooltip rendered via CSS ::after only; not in accessibility tree,Medium,Pseudo-element content is not announced by screen readers,Mirror tooltip text into aria-label/aria-describedby,Fixed
D-077,SUR-003,SUR-003-T4,Screen reader announces alert,role=alert (live region),CSS never sets role; registry markup omits role=alert. Showcase has zero role=alert,Medium,Component documented/used without ARIA role,Add role=alert to registry markup and showcase alert containers,Fixed
D-078,SUR-004,SUR-004-T2,Reserved padding for close button,Right padding reserves space so text does not sit under the X,"Padding rule requires .alert[role=alert].alert-dismissible, but showcase details has NO role=alert, so padding never applies and the close X can overlap content",Medium,Padding selector over-qualified with [role=alert],Drop [role=alert] from selector and/or add role=alert in markup,Fixed
D-079,SUR-004,SUR-004-T3,AT announcement + dismiss control labeling,role=alert live region and labeled close control,No role=alert on the details; summary relies on showcase-supplied aria-label which CSS/registry do not mandate,Medium,ARIA not enforced by component contract,Document required role=alert and aria-label on summary,Fixed
D-080,SUR-005,SUR-005-T2,Zero-JS claim vs opening the dialog,No JavaScript needed per framework tagline,Opening requires showModal(); showcase uses inline onclick=showModal(). README 0-JS claim contradicted for opening,Medium,Native <dialog> modal cannot be opened without JS,Document that opening alert-dialog requires showModal()/JS,Fixed
D-081,SUR-007,SUR-007-T2,Validate file against cited $schema,Document conforms to https://ui.shadcn.com/schema.json,shadcn schema expects items with type/files/registryDependencies; this file uses name/version/style/tokens/components — non-conforming,Medium,$schema points at shadcn but the structure is bespoke,Remove/replace $schema or restructure to shadcn registry-item shape,Fixed
D-082,BAS-001,BAS-001-T4,--z-modal and --z-popover collide at same stacking value,Distinct layers get distinct z-index,"Both --z-modal and --z-popover = 1300, so popovers cannot reliably stack above modals",Low,Copy duplication; popover should sit above modal or below overlay,Set --z-popover to a distinct value per intended stacking,Fixed
D-083,BAS-003,BAS-003-T4,Component imported standalone without reset/theme,Graceful degradation,"button.css references var(--space-2) etc. which are undefined without tokens.css, leaving properties invalid/empty",Low,Components hard-depend on tokens with no fallbacks,Provide var() fallbacks or document tokens.css as a hard prerequisite,Waived
D-084,BLD-001,BLD-001-T2,readAndBundle reads source from disk but bundle() never uses it,"Either source is fed to bundle, or the read is removed",Line 32 reads source into a var; bundle() re-reads from disk via filename and ignores source; build() destructures only {code}. Dead/duplicate disk read,Low,Leftover from a transform-based approach; bundle() resolves @imports itself,Remove the redundant fs.readFile and source return,Fixed
D-085,BLD-002,BLD-002-T2,release uses npm publish but project declares pnpm packageManager,Publish tool consistent with declared package manager,release calls npm publish while packageManager=pnpm@9.0.0. Mixed toolchain,Low,packageManager field copied in without aligning scripts/lockfile,Align packageManager to npm or change scripts to pnpm and commit a pnpm-lock.yaml,Fixed
D-086,BLD-003,BLD-003-T2,Duplicate workspace globs in package.json and pnpm-workspace.yaml,One workspace declaration,"package.json workspaces and pnpm-workspace.yaml both list apps/*,packages/* — redundant; harmless only if kept in sync manually",Low,Both managers configs left in tree,Keep only the config for the chosen manager,Fixed
D-087,BLD-004,BLD-004-T2,Package name shadcss available/published on npm,Either published or name reserved,npm view shadcss version -> 404 Not Found (not published). release would publish a public unscoped name currently free; name-squat/typo risk until claimed,Low,Never published; 0.1.0 only local,"Publish 0.1.0 to reserve the name, or scope it",Fixed
D-088,BLD-005,BLD-005-T1,README 50 components vs actual file count,Claimed count == real count,README and badge say 50 components; src/components has 52 files and shadcss.css has 52 component @imports. Off by 2,Low,Components added after README count was written,Update README/badge to 52 components or derive count from registry.json,Fixed
D-089,BTN-001,BTN-001-T4,btn-link inside btn-group joins visually,link aligns within joined group,btn-link sets height:auto/padding:0 conflicting with group's height/border-radius:0 rules; misaligns vertically,Low,btn-link overrides height/padding that btn-group assumes uniform,"Document btn-link as incompatible with btn-group, or scope link overrides with :not(.btn-group .btn)",Fixed
D-090,BTN-004,BTN-004-T3,Disabled toggle state styling,Disabled visual state exists,No :disabled rule for .toggle; disabled toggle looks identical to enabled,Low,Missing disabled styling for toggle,Add .toggle:disabled{ opacity:.5; pointer-events:none },Fixed
D-091,BTN-005,BTN-005-T4,Outline variant with 3+ items joins borders correctly,"middle items collapse adjacent borders, square inner corners","Only :first-child and :last-child square corners; middle items retain full radius-md, producing rounded inner corners and double borders mid-row",Low,Missing middle-item corner reset; first/last-only logic,Add :not(:first-child):not(:last-child){ border-radius:0 },Fixed
