Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
FRM-005,Registry metadata for form components,As a consumer using a shadcn-compatible tool I want registry.json to accurately describe these components against its declared schema.,registry.json declares $schema https://ui.shadcn.com/schema.json and lists input/textarea/label/field with file/deps/markup/classes.,Top-level shape differs from shadcn registry schema; input deps omit no entry; field deps cite label and base/tokens,FRM-005-T1:happy:PASS; FRM-005-T2:invalid:FAIL; FRM-005-T3:error:PASS,PASS (remediated),0,Medium,Rules: Entries should validate against the cited $schema || Deps: shadcn registry JSON schema || Assumes: Consumers may attempt schema validation,2026-06-22
SEL-001,Native select with CSS chevron and sizes,As a developer I want a restyled native <select> so that I get shadcn appearance with built-in keyboard/screen-reader/form support and no JS or image assets.,"`.select` restyles a native <select> with appearance:none, an inline data-URI SVG chevron, focus ring, disabled dimming, and -sm/-lg size variants.",Long option text overlapping the chevron area; RTL: background-position uses logical right; appearance:none does not restyle the native option dropdown popup,SEL-001-T1:happy:PASS; SEL-001-T2:accessibility:PASS; SEL-001-T3:boundary:PASS; SEL-001-T4:invalid:WAIVED; SEL-001-T5:accessibility:PASS,PASS,0,None,"Rules: height fixed 2.5rem default, 2rem sm, 2.75rem lg | focus removes outline but adds 2px ring box-shadow | hover border only when :not(:disabled) || Deps: base/tokens | registry deps: base/tokens || Assumes: Token variables defined in base/tokens.css | Browser supports data-URI SVG backgrounds",2026-06-22
SEL-002,Styled native checkbox with indeterminate,As a developer I want a native checkbox styled to shadcn with a CSS checkmark and indeterminate visual so that forms and a11y work without JS.,`.checkbox` restyles native input[type=checkbox] with clip-path checkmark on :checked and a dash glyph on [data-indeterminate=true].,"data-indeterminate is a static attribute, not the real IDL indeterminate property; Both :checked and data-indeterminate: checked ::before wins by source order; ::before checkmark color uses --primary-foreground",SEL-002-T1:happy:PASS; SEL-002-T2:invalid:FAIL; SEL-002-T3:boundary:PASS; SEL-002-T4:accessibility:PASS; SEL-002-T5:error:FAIL,PASS (remediated),0,Medium,"Rules: checked fills with --primary and scales checkmark to 1 | indeterminate uses a bar clip-path | focus-visible outline 2px ring | disabled opacity 0.5 || Deps: base/tokens (--border,--primary,--primary-foreground,--radius-sm,--ring) || Assumes: data-indeterminate set declaratively in HTML",2026-06-22
SEL-003,Styled native radio + radio-group layout (radio.css),As a developer I want native radios styled to shadcn with a CSS dot so that single-select groups work with native semantics.,`.radio` styles a native radio with a scaled ::before dot on :checked; radio.css ALSO defines .radio-group as flex with vertical data-orientation override.,radio.css and radio-group.css both define .radio-group with conflicting display; radio.css handles vertical; radio-group.css handles horizontal; Showcase radios in radio-group omit the .radio class,SEL-003-T1:happy:PASS; SEL-003-T2:error:FAIL; SEL-003-T3:invalid:FAIL; SEL-003-T4:accessibility:PASS; SEL-003-T5:boundary:FAIL,PASS (remediated),0,Medium,"Rules: checked fills --primary, dot scale(1) | radius-full for circular shape | focus-visible 2px ring || Deps: base/tokens | registry deps: base/tokens || Assumes: Both radio.css and radio-group.css concatenate, radio-group.css after",2026-06-22
SEL-004,Card-style radio group with :has(),As a developer I want a card-style radio group with labels/descriptions that highlights the selected option using :has() so it works with zero JS.,`.radio-group` is a grid of .radio-group-item cards; :has(:checked) highlights selected and :has(:focus-visible) outlines focus; an inline variant strips card chrome.,:has() unsupported in older browsers; data-variant=inline reflows to column grid auto-flow; item:has(:checked) matches ANY checked descendant input,SEL-004-T1:happy:PASS; SEL-004-T2:accessibility:PASS; SEL-004-T3:error:FAIL; SEL-004-T4:boundary:PASS; SEL-004-T5:responsive:PASS; SEL-004-T6:invalid:PASS,PASS,0,Low,Rules: selected card: primary border + accent bg | inline variant removes padding/border/bg | label/description typography from tokens || Deps: base/tokens | radio | :has() selector support | native input[type=radio] grouping || Assumes: Each .radio-group-item wraps exactly one radio input | Browser supports :has(),2026-06-22
CTL-001,Switch toggle (checkbox-based),As a user I want a toggle switch so that I can flip a boolean setting with native keyboard and screen-reader support.,A native input type=checkbox with class .switch renders as a pill; :checked turns the track to --primary and slides the ::before knob; RTL flips knob direction; sm/lg size variants.,RTL languages; disabled state opacity 0.5; focus-visible ring; sm/lg variants,CTL-001-T1:happy:PASS; CTL-001-T2:accessibility:PASS; CTL-001-T3:accessibility:FAIL; CTL-001-T4:responsive:PASS; CTL-001-T5:boundary:FAIL,PASS (remediated),0,Low,"Rules: knob translate distance must equal width - knob - 4px gap | checked uses --primary, unchecked uses --input || Deps: base/tokens | native checkbox semantics || Assumes: Author applies .switch to an input type=checkbox",2026-06-22
CTL-002,Range slider with fill gradient,As a user I want a styled range slider so that I can pick a numeric value with a visible filled portion.,input[type=range].slider draws track/thumb cross-browser. Filled portion faked via a linear-gradient driven by --slider-fill (default 50%). Vertical via data-orientation; sm/lg size variants.,0% and 100% fill; vertical orientation; Firefox vs WebKit pseudo-elements; disabled,CTL-002-T1:happy:PASS; CTL-002-T2:error:FAIL; CTL-002-T3:boundary:PASS; CTL-002-T4:accessibility:PASS; CTL-002-T5:responsive:FAIL; CTL-002-T6:security:PASS,PASS (remediated),0,Medium,Rules: --slider-fill must be updated as value changes | gradient hard stops at --slider-fill || Deps: base/tokens | inline JS to update --slider-fill on input || Assumes: Author wires oninput to set --slider-fill,2026-06-22
CTL-003,Input OTP digit boxes,As a user I want segmented OTP input so that I can enter a one-time code digit by digit.,"CSS styles .otp container and .otp-input as individual mono boxes with focus ring, :disabled, and :invalid destructive border. .otp-separator styles a divider. sm/lg variants resize.",empty value; invalid non-digit; auto-advance between boxes; paste full code,CTL-003-T1:happy:PASS; CTL-003-T2:invalid:PASS; CTL-003-T3:error:FAIL; CTL-003-T4:boundary:FAIL; CTL-003-T5:accessibility:FAIL,PASS (remediated),0,Medium,Rules: pattern=[0-9] + maxlength=1 per box | focus shows ring; invalid shows destructive border || Deps: base/tokens | JS for auto-advance/paste (absent) || Assumes: Each digit is a separate <input>,2026-06-22
CTL-004,Native progress bar,As a user I want a progress bar so that I can see determinate or indeterminate loading status.,<progress class=progress> restyled cross-browser. With no [value] it matches :indeterminate and runs an animated gradient. Animation respects prefers-reduced-motion. Value transitions width with --duration-slow.,value=0 and value=100; indeterminate (no value attr); reduced motion; Firefox vs WebKit pseudo-elements,CTL-004-T1:happy:PASS; CTL-004-T2:happy:PASS; CTL-004-T3:accessibility:PASS; CTL-004-T4:boundary:PASS; CTL-004-T5:boundary:FAIL,PASS (remediated),0,Low,Rules: determinate uses value/max | indeterminate animates only when no value || Deps: base/tokens | native <progress> semantics || Assumes: Author uses <progress> element,2026-06-22
CTL-005,Registry schema conformance for these components,As a consumer of the registry I want entries that match the declared $schema so that tooling can install components.,"registry.json declares shadcn $schema and lists entries for input-otp, progress, slider, switch with fields name/file/deps/description/markup/classes.","shadcn schema expects items[] with files[], type, registryDependencies; custom fields deps/classes/markup not in shadcn schema",CTL-005-T1:invalid:FAIL; CTL-005-T2:happy:PASS,PASS (remediated),0,Medium,Rules: entries must conform to cited $schema || Deps: https://ui.shadcn.com/schema.json || Assumes: The cited schema is shadcn registry schema,2026-06-22
SUR-001,Card container and zones,As a developer I want a composable card with header/content/footer zones so that I can group related content in a bordered surface.,"`.card` is a column flexbox with card bg/fg, 1px border, --radius-lg, --shadow-sm and overflow:hidden. Header/content/footer pad --space-6; content/footer drop top padding.",card-content followed by card-footer reduces bottom padding via :has(); footer with no data-justify defaults to flex-start,SUR-001-T1:happy:PASS; SUR-001-T2:boundary:PASS; SUR-001-T3:invalid:FAIL; SUR-001-T4:accessibility:FAIL; SUR-001-T5:performance:PASS,PASS (remediated),0,Low,"Rules: card-content uses :has(+ .card-footer) requiring :has() | data-justify only honors end|between || Deps: base/tokens | base/theme | CSS :has() || Assumes: Tokens --card,--card-foreground,--border,--radius-lg,--shadow-sm defined",2026-06-22
SUR-002,Card interactive hover-lift,As a developer I want an opt-in hover lift on clickable cards so that interactivity is signaled.,.card-interactive transitions transform+box-shadow and on hover translates -2px and raises to --shadow-md.,Hover-only effect; no focus or keyboard state; Touch devices have no hover,SUR-002-T1:happy:PASS; SUR-002-T2:accessibility:FAIL; SUR-002-T3:responsive:PASS,PASS (remediated),0,Low,"Rules: Effect is opt-in via separate class || Deps: base/tokens (--duration-base,--ease-out,--shadow-md) || Assumes: Card used as a non-focusable div in showcase",2026-06-22
SUR-003,Alert banner and color variants,As a developer I want an inline alert with icon/title/description and semantic color variants so that I can surface contextual messages.,".alert is a flex row, bordered, --radius-lg, text-sm, relative. Direct-child svg sized 1.125rem. Variants destructive/success/warning/info shift border-color and recolor svg+title.",Variant without an svg child; Multiple svgs; Default variant equals background,SUR-003-T1:happy:PASS; SUR-003-T2:happy:PASS; SUR-003-T3:invalid:BLOCKED; SUR-003-T4:accessibility:FAIL; SUR-003-T5:boundary:PASS,PASS (remediated),0,Medium,"Rules: Icon styling targets only direct-child svg via > | Title recolor scoped to .alert-title || Deps: base/tokens (--destructive,--success,--warning,--info) | base/theme || Assumes: Tokens --success,--warning,--info exist",2026-06-22
SUR-004,"Dismissible alert (details/summary, no JS)",As a developer I want a closable alert without JavaScript so that users can dismiss banners.,"Using <details open> as the alert, clicking summary removes [open]; .alert-dismissible:not([open]) sets display:none. Padding-inline-end added only when role=alert AND alert-dismissible.",Dismissal is irreversible; Padding reserve depends on role=alert being present,SUR-004-T1:happy:PASS; SUR-004-T2:error:FAIL; SUR-004-T3:accessibility:FAIL; SUR-004-T4:boundary:WAIVED; SUR-004-T5:security:PASS,PASS (remediated),0,Medium,Rules: Close affordance is the <summary>; marker hidden | Collapse rule keyed on :not([open]) || Deps: Native <details>/<summary> | CSS attribute selectors || Assumes: Author wraps alert as <details class=alert ... alert-dismissible open>,2026-06-22
SUR-005,Alert dialog (native <dialog> confirmation modal),As a developer I want a destructive-action confirmation modal so that users confirm before irreversible actions.,"dialog.alert-dialog centers, bordered, --radius-lg, --shadow-lg, max-width min(28rem,90vw), enter animation; ::backdrop blurred. Header centered, footer flex with data-justify center/between. Cancel uses <form method=dialog>.",Opening requires showModal() (JS); Long content vs overflow:hidden,SUR-005-T1:happy:PASS; SUR-005-T2:error:FAIL; SUR-005-T3:boundary:FAIL; SUR-005-T4:responsive:PASS; SUR-005-T5:accessibility:FAIL; SUR-005-T6:happy:PASS,PASS (remediated),0,Medium,"Rules: data-justify supports center and between; default flex-start | Backdrop blur prefixed for webkit || Deps: Native <dialog> | registry dep on dialog | base/tokens, base/theme || Assumes: Confirm button wired by author; Cancel via method=dialog",2026-06-22
SUR-006,Separator divider (orientation),As a developer I want a thin divider in either orientation so that I can visually separate content.,".separator is a flex-shrink:0 border-colored block; horizontal = 100% wide x 1px, vertical = 100% tall x 1px with align-self:stretch; default = horizontal.",Vertical separator needs a definite parent height; No data-orientation falls back to horizontal,SUR-006-T1:happy:PASS; SUR-006-T2:boundary:PASS; SUR-006-T3:invalid:FAIL; SUR-006-T4:accessibility:FAIL; SUR-006-T5:happy:PASS,PASS (remediated),0,Low,Rules: data-orientation accepts horizontal|vertical | Default branch via :not([data-orientation]) || Deps: base/tokens (--border) || Assumes: Author sets height for vertical separators in non-stretch contexts,2026-06-22
SUR-007,Registry metadata for these components,As a tooling author I want machine-readable component metadata so that I can install components programmatically.,"registry.json declares $schema as shadcn schema then uses a custom shape: top-level name/version/style/tokens and a components array of {name,file,deps,description,markup,classes,attributes}.","Schema URL implies shadcn registry shape but objects use non-shadcn keys; alert-dialog markup includes role-less, label-less dialog",SUR-007-T1:happy:PASS; SUR-007-T2:invalid:FAIL; SUR-007-T3:boundary:FAIL; SUR-007-T4:error:FAIL; SUR-007-T5:happy:PASS,PASS (remediated),0,Medium,Rules: Each entry cites a real file path | classes arrays should match CSS class names || Deps: Cited $schema https://ui.shadcn.com/schema.json || Assumes: Consumers may validate against the cited schema,2026-06-22
MED-001,"Avatar (sizes, shape, ring, group)",As a developer I want an avatar component with size/shape/ring/group variants so that I can show user images with a text fallback.,"`.avatar` is a 2.5rem inline-flex circle with muted bg, centering text fallback and clipping > img via object-fit:cover. Size variants sm/lg/xl, .avatar-square, .avatar-ring, and overlapping .avatar-group.","img fails to load -> no CSS fallback, relies on inline onerror JS; very long text fallback overflowing the fixed box; RTL: margin-inline-start used",MED-001-T1:happy:PASS; MED-001-T2:happy:FAIL; MED-001-T3:error:FAIL; MED-001-T4:boundary:PASS; MED-001-T5:accessibility:WAIVED; MED-001-T6:responsive:PASS,PASS (remediated),0,Medium,"Rules: fallback text centered when no img | img clipped to circle via overflow:hidden + object-fit:cover | group children overlap except first || Deps: base/tokens (--muted,--muted-foreground,--background,--border,--radius-full,--radius-md,--text-*) || Assumes: Consumer supplies text fallback as element text content",2026-06-22
MED-002,Skeleton shimmer placeholder,As a developer I want shimmering placeholder blocks so that loading states look intentional without JS.,`.skeleton` is a block with a 3-stop muted gradient animated by shadcss-shimmer 1.5s infinite. .skeleton-circle rounds fully; .skeleton-text last-child 60% width. Animation disabled under reduced-motion.,last-child override forces 60% width even when author wants full width; reduced-motion users get a static gradient,MED-002-T1:happy:PASS; MED-002-T2:accessibility:PASS; MED-002-T3:boundary:FAIL; MED-002-T4:accessibility:WAIVED; MED-002-T5:performance:PASS,PASS (remediated),0,Low,"Rules: shimmer loops infinitely | reduced motion removes animation | circle/text modifiers adjust radius/height || Deps: base/tokens (--muted,--radius-sm,--radius-full) || Assumes: Placeholder dimensions set by consumer via inline style",2026-06-22
MED-003,Spinner (sizes + color variants),As a developer I want a pure-CSS spinner with sizes and colors so that I can show inline/standalone loading.,`.spinner` is a 1.25rem ring spun by shadcss-spin. Size variants sm/lg/xl; color variants; .spinner-inline. Reduced motion slows to 1.5s rather than stopping.,reduced-motion still spins (slower); spinner-inherit makes top border transparent,MED-003-T1:happy:PASS; MED-003-T2:happy:PASS; MED-003-T3:accessibility:WAIVED; MED-003-T4:boundary:PASS; MED-003-T5:accessibility:FAIL; MED-003-T6:invalid:PASS,PASS (remediated),0,Medium,Rules: all color variants reference defined tokens | spin keyframe rotates 360deg | reduced-motion slows but keeps motion || Deps: base/tokens || Assumes: Consumer adds aria-label/role=status if needed,2026-06-22
MED-004,Aspect-ratio container + presets,As a developer I want aspect-ratio presets so that media stays at a fixed ratio responsively.,`.aspect-ratio` is a full-width relative box defaulting 16/9 with overflow hidden and radius-md; direct children absolutely positioned to fill and cover. Presets square/video/photo/portrait/cinema/wide/ultra.,height grows from width; in a flex row with no width may collapse; absolute children mean text/non-media content gets stretched & clipped; border-radius:md may clip unexpectedly,MED-004-T1:happy:PASS; MED-004-T2:happy:PASS; MED-004-T3:boundary:PASS; MED-004-T4:invalid:FAIL; MED-004-T5:responsive:PASS,PASS (remediated),0,Low,Rules: uses native aspect-ratio property | children cover the box | presets set correct ratios || Deps: base/tokens (--radius-md) | modern CSS aspect-ratio property || Assumes: Consumer constrains width,2026-06-22
MED-005,Registry metadata for these components,As a tooling consumer I want registry.json to describe components per its declared $schema so that automated installers can consume it.,"registry.json declares $schema https://ui.shadcn.com/schema.json then lists components as {name,file,deps,markup,classes} objects.",schema mismatch breaks shadcn CLI consumption; class lists must match actual CSS classes,MED-005-T1:happy:PASS; MED-005-T2:invalid:FAIL; MED-005-T3:boundary:PASS,PASS (remediated),0,Medium,Rules: component class lists match CSS | shape conforms to cited schema || Deps: shadcn registry schema || Assumes: The cited schema is the shadcn registry schema,2026-06-22
OVL-001,Dialog (native <dialog> modal),As a developer I want a styled native dialog modal so that I can show focused content with a backdrop and a no-JS close button.,"dialog.dialog styles a native <dialog> with border, lg radius, background, shadow-lg, max-width min(32rem,90vw), max-height 85vh, overflow auto, fade/translate-in animation; ::backdrop blur. Header/body/footer/close subparts.",Modal open requires showModal() JS; Long content scrolls via overflow:auto + max-height 85vh; dialog-close is position:absolute,OVL-001-T1:happy:PASS; OVL-001-T2:accessibility:PASS; OVL-001-T3:error:WAIVED; OVL-001-T4:invalid:FAIL; OVL-001-T5:boundary:PASS,PASS (remediated),0,Medium,"Rules: Backdrop styling only applies when opened via showModal() | ::backdrop animation must be defined | close button needs an accessible name and a click handler || Deps: base/tokens | native <dialog> + showModal() | registry deps: base/tokens, base/theme || Assumes: Author opens via showModal() | Consumer supplies close wiring or uses <form method=dialog>",2026-06-22
OVL-002,Sheet (edge slide-in panel on <dialog>),As a developer I want a full-height slide-in sheet from any edge so that I can present secondary navigation or content over the page.,dialog.sheet is a borderless full-height panel max-width 32rem with shadow-2xl and blurred backdrop; data-side right/left/top/bottom set insets and a directional slide animation. Header/body/footer subparts.,top/bottom sides switch to 100vw width and auto height max 90vh; Right is default in showcase via data-side=right; No data-side => no side-specific inset or slide animation,OVL-002-T1:happy:PASS; OVL-002-T2:boundary:PASS; OVL-002-T3:invalid:FAIL; OVL-002-T4:accessibility:PASS; OVL-002-T5:error:WAIVED,PASS (remediated),0,Low,Rules: Each data-side defines matching keyframes | Opening requires showModal() for backdrop | sheet-footer data-justify accepts only end|between || Deps: base/tokens | native <dialog> + showModal() | registry deps & markup || Assumes: Consumer always supplies a data-side | Opened modally,2026-06-22
OVL-003,Drawer (compact edge panel on <dialog>),As a developer I want a narrow drawer that slides from an edge so that I can show filters or secondary actions.,dialog.drawer is a borderless full-height max-width 24rem panel with shadow-xl and a 2px-blur backdrop; base animation slide-in. data-side left/top/bottom override inset + animation-name; right relies on base animation.,"Right side has no explicit animation-name and inherits base; top/bottom switch to 100vw width, auto height max 80vh; footer only defines data-justify=end",OVL-003-T1:happy:PASS; OVL-003-T2:boundary:PASS; OVL-003-T3:invalid:FAIL; OVL-003-T4:responsive:PASS; OVL-003-T5:accessibility:PASS,PASS (remediated),0,Low,Rules: Each non-right side sets animation-name | Opening requires showModal() for backdrop || Deps: base/tokens | native <dialog> + showModal() | registry deps & markup || Assumes: Right is the default visual | Opened modally,2026-06-22
OVL-004,Popover (Popover API floating panel),As a developer I want a click-triggered floating panel with arbitrary content so that I can show forms or details without JS.,".popover is a 20rem padded panel using --popover tokens, border, lg radius, shadow-md, margin-top spacing and fade/translate-in animation; data-side top/start/end adjust margins; size variants. Triggered via popovertarget.",Popover API has no native anchor positioning here; inset+margins only nudge it; data-side values are top/start/end (no bottom); popover-sm/lg only change width+padding,OVL-004-T1:happy:PASS; OVL-004-T2:happy:PASS; OVL-004-T3:boundary:FAIL; OVL-004-T4:accessibility:FAIL; OVL-004-T5:performance:PASS,PASS (remediated),0,Medium,"Rules: Trigger must use popovertarget matching the popover id | Real positioning requires CSS anchor positioning or JS | Browser must support Popover API || Deps: Popover API | base/tokens | registry deps base/tokens, popover || Assumes: Consumer accepts top-layer default placement | Modern browser with Popover API",2026-06-22
OVL-005,Registry schema conformance for overlay components,As a tooling author I want the registry to conform to its declared $schema so that shadcn-compatible CLIs can consume it.,registry.json declares $schema https://ui.shadcn.com/schema.json and lists overlay components dialog/drawer/sheet/popover with a custom shape using deps/markup/classes/description fields.,shadcn registry schema expects items with type registry:* and files[]; No per-item type field present,OVL-005-T1:error:FAIL; OVL-005-T2:happy:PASS; OVL-005-T3:invalid:FAIL,PASS (remediated),0,Medium,"Rules: If $schema is shadcn, items must match shadcn registry-item shape | deps/markup/classes are non-standard keys || Deps: shadcn registry JSON schema || Assumes: The cited schema is the authoritative contract",2026-06-22
